team_id,minutes,zone,season_name,data.action_type,data.num_actions_for,data.goals_added_for,data.num_actions_against,data.goals_added_against
a2lqR4JMr0,3378,2,2021,Dribbling,57,0.0107,38,0.0346
a2lqR4JMr0,3378,2,2021,Fouling,3,0.0035,3,0.0033
a2lqR4JMr0,3378,2,2021,Interrupting,145,3.1818,127,1.4846
a2lqR4JMr0,3378,2,2021,Passing,160,0.3609,132,0.2742
a2lqR4JMr0,3378,2,2021,Receiving,114,-0.0012,107,-0.0007
a2lqRX2Mr0,3402,2,2021,Claiming,0,0.0,1,0.0023
a2lqRX2Mr0,3402,2,2021,Dribbling,39,0.0308,70,-0.0859
a2lqRX2Mr0,3402,2,2021,Fouling,4,0.002,2,0.0056
a2lqRX2Mr0,3402,2,2021,Interrupting,153,1.3803,153,1.0115
a2lqRX2Mr0,3402,2,2021,Passing,132,0.3246,206,0.4556
a2lqRX2Mr0,3402,2,2021,Receiving,84,0.0036,153,0.0024
APk5LGOMOW,3382,2,2021,Claiming,1,0.0004,3,0.0027
APk5LGOMOW,3382,2,2021,Dribbling,74,-0.0031,59,-0.0342
APk5LGOMOW,3382,2,2021,Fouling,2,0.0016,0,0.0
APk5LGOMOW,3382,2,2021,Interrupting,140,0.994,134,1.6299
APk5LGOMOW,3382,2,2021,Passing,218,0.3182,159,0.1735
APk5LGOMOW,3382,2,2021,Receiving,180,0.003,125,-0.0006
EKXMeX3Q64,3377,2,2021,Dribbling,39,0.0681,55,0.01
EKXMeX3Q64,3377,2,2021,Fouling,3,0.0046,7,0.0084
EKXMeX3Q64,3377,2,2021,Interrupting,124,1.7109,117,1.5658
EKXMeX3Q64,3377,2,2021,Passing,147,0.3865,184,0.4382
EKXMeX3Q64,3377,2,2021,Receiving,89,-0.0003,141,-0.0009
eVq3ya6MWO,3386,2,2021,Claiming,0,0.0,1,0.0011
eVq3ya6MWO,3386,2,2021,Dribbling,44,0.0415,82,-0.0062
eVq3ya6MWO,3386,2,2021,Fouling,4,0.0075,10,0.0152
eVq3ya6MWO,3386,2,2021,Interrupting,123,1.7688,206,2.2621
eVq3ya6MWO,3386,2,2021,Passing,127,0.3517,204,0.0446
eVq3ya6MWO,3386,2,2021,Receiving,80,0.0031,179,-0.0014
gpMOLwl5zy,3380,2,2021,Claiming,1,0.0051,1,0.0061
gpMOLwl5zy,3380,2,2021,Dribbling,71,0.0688,76,-0.048
gpMOLwl5zy,3380,2,2021,Fouling,2,0.005,4,0.0022
gpMOLwl5zy,3380,2,2021,Interrupting,155,1.5956,137,1.5099
gpMOLwl5zy,3380,2,2021,Passing,228,0.2603,160,0.3357
gpMOLwl5zy,3380,2,2021,Receiving,214,-0.0015,161,-0.0007
jYQJ19EqGR,3374,2,2021,Claiming,3,0.0052,0,0.0
jYQJ19EqGR,3374,2,2021,Dribbling,59,-0.0656,50,-0.0358
jYQJ19EqGR,3374,2,2021,Fouling,9,0.0177,5,0.0049
jYQJ19EqGR,3374,2,2021,Interrupting,171,2.8118,134,1.7352
jYQJ19EqGR,3374,2,2021,Passing,165,0.3404,197,0.3643
jYQJ19EqGR,3374,2,2021,Receiving,116,0.0049,160,0.0032
jYQJ8EW5GR,3379,2,2021,Claiming,1,0.0039,3,0.0042
jYQJ8EW5GR,3379,2,2021,Dribbling,65,-0.0381,60,-0.0463
jYQJ8EW5GR,3379,2,2021,Fouling,3,0.0074,3,0.0033
jYQJ8EW5GR,3379,2,2021,Interrupting,154,1.9175,142,1.9898
jYQJ8EW5GR,3379,2,2021,Passing,153,0.0745,165,0.3059
jYQJ8EW5GR,3379,2,2021,Receiving,141,-0.0003,136,-0.0001
kaDQ0wRqEv,3380,2,2021,Claiming,1,0.0043,1,0.0012
kaDQ0wRqEv,3380,2,2021,Dribbling,87,-0.0936,62,0.0853
kaDQ0wRqEv,3380,2,2021,Fouling,4,0.0099,0,0.0
kaDQ0wRqEv,3380,2,2021,Interrupting,163,1.8225,142,1.9181
kaDQ0wRqEv,3380,2,2021,Passing,186,0.0678,167,0.1945
kaDQ0wRqEv,3380,2,2021,Receiving,159,0.0,147,0.0014
KAqBN0Vqbg,3365,2,2021,Claiming,3,0.0034,0,0.0
KAqBN0Vqbg,3365,2,2021,Dribbling,78,0.0285,59,-0.0397
KAqBN0Vqbg,3365,2,2021,Fouling,4,0.0176,4,0.0053
KAqBN0Vqbg,3365,2,2021,Interrupting,115,1.2278,128,2.3198
